company_name,company_website,company_size,industry,contact_name,contact_email,contact_phone,contact_title,notes
A & A GENPRO INC.,https://www.aagenpro.com/,,Generator/Electrical Services,,,(713) 830-3280,,"ICP Score: 72.8 | Tier: GOLD | Domain: aagenpro.com | OEMs: Briggs & Stratton, Cummins, Generac"
ABACUS PLUMBING A/C & ELECTRICAL,https://www.abacusplubming.net/,,Generator/Electrical Services,,,(713) 812-7070,,ICP Score: 66.5 | Tier: GOLD | Domain: abacusplubming.net | OEMs: Generac
"ABACUS PLUMBING, AC & ELECTRICAL",https://www.abacusplumbing.com/,,Generator/Electrical Services,,,(512) 745-5409,,ICP Score: 66.5 | Tier: GOLD | Domain: abacusplumbing.com | OEMs: Generac
NEW ENGLAND TOTAL POWER LLC,https://www.greenwichpowersystems.com/,,Generator/Electrical Services,,,(203) 900-1122,,ICP Score: 66.5 | Tier: GOLD | Domain: greenwichpowersystems.com | OEMs: Generac
"RAVINIA PLUMBING, SEWER, HEATING, & ELECTRIC",http://www.raviniaplumbing.com/,,Generator/Electrical Services,,,8475795565,,ICP Score: 66.5 | Tier: GOLD | Domain: raviniaplumbing.com | OEMs: Briggs & Stratton
"RED CAP PLUMBING, AIR AND ELECTRIC",https://www.redcapnow.com/,,Generator/Electrical Services,,,(813) 798-7374,,ICP Score: 66.5 | Tier: GOLD | Domain: redcapnow.com | OEMs: Generac
"ABC HOME & COMMERCIAL SERVICES, INC",https://www.abchomeandcommercial.com/austin,,Generator/Electrical Services,,,(512) 837-9500,,ICP Score: 65.0 | Tier: GOLD | Domain: abchomeandcommercial.com | OEMs: Generac
Evenflow Home And Commercial Services Llc - San Antonio,,,Generator/Electrical Services,,,210 951-3503,,ICP Score: 65.0 | Tier: GOLD | OEMs: Cummins
"FREEDOM COMMERCIAL & HOME SERVICES,",https://www.freedomchs.com/,,Generator/Electrical Services,,,(281) 955-8789,,ICP Score: 65.0 | Tier: GOLD | Domain: freedomchs.com | OEMs: Generac
BACKUP POWER SOLUTIONS INC,,,Generator/Electrical Services,,,(866) 444-3031,,"ICP Score: 62.5 | Tier: GOLD | OEMs: Briggs & Stratton, Cummins, Generac"
GENSTAR SERVICE,https://www.genstarservice.com/,,Generator/Electrical Services,,,(407) 417-5553,,"ICP Score: 62.5 | Tier: GOLD | Domain: genstarservice.com | OEMs: Briggs & Stratton, Generac"
SUNSHINE FUELS &ENERGY SERVICES INC,https://www.sunshineoilco.com/,,Generator/Electrical Services,,,(401) 253-7781,,"ICP Score: 62.5 | Tier: GOLD | Domain: sunshineoilco.com | OEMs: Briggs & Stratton, Generac"
A-Z ELECTRIC CORP,https://www.a-zelectric.biz/,,Generator/Electrical Services,,,(908) 272-4941,,"ICP Score: 60.2 | Tier: GOLD | Domain: a-zelectric.biz | OEMs: Cummins, Generac"
CHRIS ELECTRIC LTD,https://www.chriselectricltd.com/,,Generator/Electrical Services,,,(401) 847-2542,,"ICP Score: 60.2 | Tier: GOLD | Domain: chriselectricltd.com | OEMs: Briggs & Stratton, Generac"
DON HILLMAN INC,https://donhillmangenerator.com/,,Generator/Electrical Services,,,(954) 467-6755,,"ICP Score: 60.2 | Tier: GOLD | Domain: donhillmangenerator.com | OEMs: Cummins, Generac"
ECI STANDBY POWER SYSTEMS,,,Generator/Electrical Services,,,(401) 884-8810,,"ICP Score: 60.2 | Tier: GOLD | OEMs: Briggs & Stratton, Generac"
