Contractor Name,Phone,Domain,ICP Fit Score,ICP Tier,Resimercial Score,O&M Score,Multi-OEM Score,MEP+R Score,OEM Count,OEM Sources,oem_count_verified,is_multi_oem,LicenseNo,BusinessName,MailingAddress,City_license,County,ZIPCode,BusinessPhone,Classifications(s),PrimaryStatus,ExpirationDate,phone_normalized
LT GENERATORS,(818) 787-1470,ltgenerators.com,25,BRONZE,40,20,25,0,1,Generac,1,NO,549974.0,L T ELECTRIC,14932 DELANO ST.,VAN NUYS,Los Angeles,91411,(818) 787 1470,C10,CLEAR,05/31/2027,8187871470
LT GENERATORS,(818) 787-1470,ltgenerators.com,25,BRONZE,40,20,25,0,1,Generac,1,NO,602073.0,LT GENERATORS,14932 DELANO ST,VAN NUYS,Los Angeles,91411,(818) 787 1470,B| C10| C36,CLEAR,09/30/2026,8187871470
"TECHNICAL BUSINESS SOLUTIONS, INC.",(805) 795-8447,solarserviceprovider.com,25,BRONZE,60,0,25,25,1,Generac,1,NO,858789.0,TECHNICAL BUSINESS SOLUTIONS INC,11 WEST KELLY RD,NEWBURY PARK,Ventura,91320,(805) 795 8447,B| C10,CLEAR,05/31/2027,8057958447
SWIHART ENTERPRISES & ELECTRICAL,(530) 308-3274,swihartelectrical.com,25,BRONZE,60,0,25,25,1,Generac,1,NO,805050.0,SWIHART ENTERPRISES & ELECTRICAL,6100 HOSRE SHOE BAR ROAD #314,LOOMIS,Placer,95950,(530) 308 3274,C10,CLEAR,03/31/2026,5303083274
"DEGRYSE ELECTRIC, INCORPORATED",(925) 523-3060,degryseelectric.com,23,BRONZE,60,0,25,0,1,Generac,1,NO,1068778.0,B E S T ELECTRICAL SERVICE TEAM INC,2186 RHEEM DRIVE SUITE A,PLEASANTON,Alameda,94588,(925) 523 3060,C10,CLEAR,09/30/2026,9255233060
"DEGRYSE ELECTRIC, INCORPORATED",(925) 523-3060,degryseelectric.com,23,BRONZE,60,0,25,0,1,Generac,1,NO,532949.0,DEGRYSE ELECTRIC INCORPORATED,2186 RHEEM DRIVE UNIT A,PLEASANTON,Alameda,94588,(925) 523 3060,C10,CLEAR,06/30/2026,9255233060
L H P ELECTRICAL COMPANY,(510) 759-4942,lhpelectrical.com,23,BRONZE,0,40,25,25,1,Generac,1,NO,883038.0,L H P ELECTRICAL COMPANY,6295 LIDO CT,NEWARK,Alameda,94560,(510) 759 4942,C10,CLEAR,02/28/2026,5107594942
"ADI ELECTRICAL SERVICES, INC.",(866) 561-7545,adi-electric.com,23,BRONZE,0,40,25,25,1,Generac,1,NO,720796.0,ADI ELECTRICAL SERVICES,6159 DEBS AVENUE,WOODLAND HILLS,Los Angeles,91367,(866) 561 7545,C10,CLEAR,04/30/2026,8665617545
"ADI ELECTRICAL SERVICES, INC.",(866) 561-7545,adi-electric.com,23,BRONZE,0,40,25,25,1,Generac,1,NO,977443.0,ADI ELECTRICAL SERVICES INC,6159 DEBS AVENUE,WOODLAND HILLS,Los Angeles,91367,(866) 561 7545,C10,CLEAR,10/31/2026,8665617545
AAAA GENERATOR SERVICES,(888) 664-2436,aaaagen.com,21,BRONZE,0,40,25,0,1,Generac,1,NO,914864.0,A A A A GENERATOR SERVICES INC,1174 RUSSELL WAY,HAYWARD,Alameda,94541,(888) 664 2436,A| B| C10| C36,CLEAR,06/30/2026,8886642436
THE KGB DIGITAL SYSTEM SERVICES LLC,(831) 200-3496,thekgbdss.com,21,BRONZE,0,40,25,0,1,Generac,1,NO,1039320.0,KGB DIGITAL SYSTEM SERVICES LLC THE,731 SHAWNEE LN,SAN JOSE,Santa Clara,95123,(831) 200 3496,C-7| C10,CLEAR,01/31/2027,8312003496
SMART HOME POWER ELECTRIC INC.,(818) 388-6446,smarthomepowerinc.com,21,BRONZE,0,40,25,0,1,Generac,1,NO,1044349.0,SMART HOME POWER ELECTRIC INC,11010 SCOVILLE AVE,SUNLAND,Los Angeles,91040,(818) 388 6446,C10,CLEAR,09/30/2026,8183886446
SMART HOME POWER ELECTRIC INC.,(818) 388-6446,smarthomepowerinc.com,21,BRONZE,0,40,25,0,1,Generac,1,NO,857496.0,SMART HOME POWER ELECTRIC,11010 SCOVILLE AVE,SUNLAND,Los Angeles,91040,(818) 388 6446,C10,CLEAR,04/30/2027,8183886446
ALL AMERICAN GENERATOR SERVICES,(818) 340-4767,allamericangenerator.com,21,BRONZE,0,40,25,0,1,Generac,1,NO,858885.0,ALL AMERICAN GENERATOR,9142 JORDAN AVE,CHATSWORTH,Los Angeles,91311,(818) 340 4767,C10,CLEAR,05/31/2027,8183404767
"LEWIS AIR SERVICES, INC.",(949) 589-0609,lewisair.com,21,BRONZE,0,40,25,0,1,Generac,1,NO,575873.0,LEWIS AIR INC,30052 AVENTURA STE A,RANCHO SANTA MARGARITA,Orange,92688,(949) 589 0609,C20,CLEAR,09/30/2027,9495890609
"LEWIS AIR SERVICES, INC.",(949) 589-0609,lewisair.com,21,BRONZE,0,40,25,0,1,Generac,1,NO,972182.0,LEWIS AIR SERVICES INC,30052 AVENTURA STE A,RANCHO SANTA MARGARITA,Orange,92688,(949) 589 0609,B| C20,CLEAR,04/30/2026,9495890609
TOM MCCLELLAN ELECTRIC,(831) 234-3193,,21,BRONZE,0,40,25,0,1,Generac,1,NO,793865.0,MCCLELLAN TOM ELECTRIC TME,115 BENEDICT AVENUE,SANTA CRUZ,Santa Cruz,95065,(831) 234 3193,C10,CLEAR,04/30/2027,8312343193
RADCOM,(323) 227-6777,,21,BRONZE,0,40,25,0,1,Generac,1,NO,557777.0,RAD COM LLC,483 CANYON VISTA DR,LOS ANGELES,Los Angeles,90065,(323) 227 6777,C10,CLEAR,10/31/2026,3232276777
TJ ELECTRIC AND A/C SERVICE,(818) 888-5467,,21,BRONZE,0,40,25,0,1,Generac,1,NO,687668.0,T J ELECTRIC AND A/C SERVICE,23500 LAKE MANOR DR,CHATSWORTH,Los Angeles,91311,(818) 888 5467,C10| C20,CLEAR,04/30/2026,8188885467
D SQUARE CONSTRUCTION SERVICES INC.,(310) 699-7164,,21,BRONZE,0,40,25,0,1,Generac,1,NO,822701.0,D SQUARE CONSTRUCTION SERVICES INC,P O BOX 1162,PACIFIC PALISADES,Los Angeles,90272,(310) 699 7164,B| C33,CLEAR,08/31/2027,3106997164
"ECONO ELECTRIC SERVICES, INC.",(805) 416-4470,,21,BRONZE,0,40,25,0,1,Generac,1,NO,845290.0,ECONO ELECTRIC SERVICES INC,847 HARPER ST,SIMI VALLEY,Ventura,93065,(805) 416 4470,C10,CLEAR,11/30/2026,8054164470
"QPS, INC GENERAL CONTRACTORS",(925) 387-8076,qps.contractors,10,BRONZE,0,0,25,50,1,Generac,1,NO,1018263.0,Q P S INC GENERAL CONTRACTORS,1539 THIRD AVE SUITE B,WALNUT CREEK,Contra Costa,94597,(925) 387 8076,B| C33,CLEAR,09/30/2026,9253878076
A PLUS GENERAL CONTRACTORS INC,(714) 901-0500,aplusgc.com,10,BRONZE,0,0,25,50,1,Generac,1,NO,826934.0,A PLUS HOME IMPROVEMENT SPECIALISTS INC,11330 KNOTT STREET,GARDEN GROVE,Orange,92841,(714) 901 0500,B| C20,CLEAR,10/31/2025,7149010500
PRECISION ELECTRICAL SYSTEMS INC,(626) 808-6654,,10,BRONZE,0,0,25,50,1,Generac,1,NO,793823.0,PRECISION ELECTRICAL SYSTEMS INC,1603 GLENFORD AVENUE,DUARTE,Los Angeles,91010,(626) 808 6654,C10,CLEAR,04/30/2027,6268086654
SMART ELECTRICAL SOLUTIONS INC,(626) 560-4173,,10,BRONZE,0,0,25,50,1,Generac,1,NO,1035726.0,SMART ELECTRICAL SOLUTIONS INC,1434 E FOOTHILL BLVD,GLENDORA,Los Angeles,91741,(626) 560 4173,C10,CLEAR,02/28/2026,6265604173
"EFFICIENT ENERGY SOLUTIONS, INC.",(916) 804-2243,,10,BRONZE,0,0,25,50,1,Generac,1,NO,1068801.0,CALIFORNIA RENEWABLE ENERGY,2024 OPPORTUNITY DR STE 150,ROSEVILLE,Placer,95878,(916) 804 2243,B| C-2| C10| C17| C20| C36| C39,CLEAR,10/31/2027,9168042243
"EFFICIENT ENERGY SOLUTIONS, INC.",(916) 804-2243,,10,BRONZE,0,0,25,50,1,Generac,1,NO,365598.0,EFFICIENT ENERGY SOLUTIONS INC,819 STRIKER AVE #6,SACRAMENTO,Sacramento,95834,(916) 804 2243,B| C-2| C10| C17| C20| C36| C54| D41| D65,CLEAR,01/31/2026,9168042243
