name,phone,domain,website,city,state,zip,oem_source,scraped_from_zip,license_number,license_type,license_status,license_state,license_tier,license_expiration_date
"ABC HOME & COMMERCIAL SERVICES, INC",(512) 837-9500,abchomeandcommercial.com,https://www.abchomeandcommercial.com/austin,in,TX,78724.0,Generac,78701,1300,Electrical,Active,TX,BULK,2026-05-19
TRUSERV ENERGY SOLUTIONS,(214) 945-0790,truservenergy.com,https://www.truservenergy.com/,plano,TX,75093.0,Generac,75201,1377,Electrical,Active,TX,BULK,2026-05-31
WEEKS SERVICE CO,(281) 332-9555,weeksservicecompany.com,https://weeksservicecompany.com/electrical/generator-installation/,s league city,TX,77573.0,Generac,77002,17036,Electrical,Active,TX,BULK,2026-07-13
PRUITT ELECTRIC CO OF ARLINGTON INC,(817) 478-8869,pruittelectric.net,https://www.pruittelectric.net/,kennedale,TX,76060.0,Generac,76102,17071,Electrical,Active,TX,BULK,2026-03-12
COLWELL ELECTRIC,(713) 849-4427,colwellelectric.com,https://www.colwellelectric.com/,on,TX,77040.0,Generac,77019,17352,Electrical,Active,TX,BULK,2026-02-02
"ZUBRAS ELECTRIC, INC.",(214) 319-6900,zubraselectric.com,https://www.zubraselectric.com/,ive dallas,TX,75227.0,Generac,75201,17356,Electrical,Active,TX,BULK,2026-07-23
"Ttg Electric Co., Inc. - Killeen",254 526-7284,,,Killeen,TEXAS,76549.0,Cummins,2101,17420,Electrical,Active,TX,BULK,2026-07-23
Freedom Enterprises Electrical & Generator Service,5128459777,,,AUSTIN,TX,78748.0,Briggs & Stratton,78701,17510,Electrical,Active,TX,BULK,2026-10-29
ARI-TEX ELECTRIC INC,(972) 727-9902,,,allen,TX,75002.0,Generac,75201,17608,Electrical,Active,TX,BULK,2026-07-26
CIRCLE A ELECTRIC INC.,(817) 625-0880,,,saginaw,TX,76131.0,Generac,76102,17781,Electrical,Active,TX,BULK,2026-07-26
ARI-TEX ELECTRIC INC,(972) 727-9902,,,allen,TX,75002.0,Generac,75201,17844,Electrical,Active,TX,BULK,2026-07-26
"FACILITIES ELECTRIC, INC",(713) 647-6767,facilitieselectric.com,https://www.facilitieselectric.com/,on,TX,77041.0,Generac,77002,17881,Electrical,Active,TX,BULK,2026-07-28
Commercial Electric - Lubbock,806 797-6721,commercialelectrictx.com,https://www.commercialelectrictx.com/,Lubbock,TEXAS,79404.0,Cummins,2101,18449,Electrical,Active,TX,BULK,2026-08-13
Daystar Electric - Flint,903 534-5850,daystar-electric.com,https://www.daystar-electric.com/,Flint,TEXAS,75762.0,Cummins,2101,18568,Electrical,Active,TX,BULK,2026-08-18
Bradford Brothers - Houston,281 449-7226,,,Houston,TEXAS,77093.0,Cummins,36601,18679,Electrical,Active,TX,BULK,2026-08-20
Bosworth Company - Midland / The Bosworth Company,4326835233,bosworthco.com,https://bosworthco.com/,Midland,TX,79706.0,Mitsubishi,77002,18700,Electrical,Active,TX,BULK,2026-08-20
POWER SOURCE ELECTRIC,(210) 924-3434,powersourcetx.com,https://www.powersourcetx.com/,san antonio,TX,78220.0,Generac,78201,18742,Electrical,Active,TX,BULK,2025-12-10
Triangle Electric Company - Amarillo,806 376-9950,,,Amarillo,TEXAS,79102.0,Cummins,2101,18914,Electrical,Active,TX,BULK,2026-08-26
ARS OF HOUSTON,(713) 777-7777,ars.com,https://www.ars.com/,on,TX,77041.0,Generac,77002,19006,Electrical,Active,TX,BULK,2026-08-27
"Cable Electric, Inc.",8175951055,cableelectric.com,http://www.cableelectric.com/,NORTH RICHLAND HILLS,TX,76180.0,Briggs & Stratton,75201,19202,Electrical,Active,TX,BULK,2026-09-05
W & A Electric Service Company - Conroe,936 441-4275,arkgenerators.com,https://www.arkgenerators.com/,Conroe,TEXAS,77304.0,Cummins,2101,19700,Electrical,Active,TX,BULK,2026-11-16
American Services - Hockley,281 355-9100,buyamericanservices.com,https://www.buyamericanservices.com/,Hockley,TEXAS,77447.0,Cummins,2101,19746,Electrical,Active,TX,BULK,2025-12-01
"RPE ENTERPRISES, LLC",(512) 652-8463,,,kyle,TX,78640.0,Generac,78701,19901,Electrical,Active,TX,BULK,2026-10-04
"A. FULLER ELECTRIC, INC",(281) 499-5333,afullerelectric.com,https://www.afullerelectric.com/,,TX,77477.0,Generac,77019,19989,Electrical,Active,TX,BULK,2026-09-23
"SYMCY SERVICES, LLC",(210) 417-5319,,,e,TX,78163.0,Generac,78201,20294,Electrical,Active,TX,BULK,2026-09-02
"SUGAR LAND ELECTRIC, LLC",(832) 363-3221,sugarlandelectric.com,https://www.sugarlandelectric.com/,reviews  po b,ox,16400.0,Generac,77002,20310,Electrical,Active,TX,BULK,2026-01-07
"DUVALL ELECTRIC, INC.",(512) 599-4061,duvallelectric.com,https://www.duvallelectric.com/,in,TX,78757.0,Generac,78701,20485,Electrical,Active,TX,BULK,2026-09-29
MALLORY ENTERPRISES INC,(512) 301-9111,malcoelectric.com,https://www.malcoelectric.com/,in,TX,78737.0,Generac,78701,20588,Electrical,Active,TX,BULK,2026-11-23
A.C. ELECTRIC LLC,(512) 444-9700,acelectricaustin.com,https://acelectricaustin.com/,in,TX,78737.0,Generac,78701,20902,Electrical,Active,TX,BULK,2026-12-02
THE OSCAR W. LARSON COMPANY,(817) 319-6103,jbielectric.com,https://jbielectric.com/,fort worth,TX,76137.0,Generac,76102,20921,Electrical,Active,TX,BULK,2026-01-23
Jack Spring Electrical Contractors Inc. - Shreveport,318 865-6225,jackspringelectric.com,https://www.jackspringelectric.com/,Shreveport,LOUISIANA,71106.0,Cummins,2101,21020,Electrical,Active,TX,BULK,2026-01-12
"ALLIED ELECTRIC SERVICES, INC.",(512) 930-0767,alliedelectric.us,https://alliedelectric.us/,georgetown,TX,78626.0,Generac,78730,21659,Electrical,Active,TX,BULK,2026-02-26
HERNANDEZ ELECTRICAL SERVICES INC,(972) 313-3885,hernandezelectrical.com,https://hernandezelectrical.com/,irby lane irving,TX,75061.0,Generac,75201,22315,Electrical,Active,TX,BULK,2026-07-31
ABSOLUTE PWR ELECTRIC CONTRACTORS,(210) 647-3138,absolute-pwr.com,https://www.absolute-pwr.com/,san antonio,TX,78249.0,Generac,78201,22434,Electrical,Active,TX,BULK,2026-08-27
GENERATORS BY WIRED,(713) 467-1125,generatorsbywired.com,https://www.generatorsbywired.com/,tomball,TX,77377.0,Generac,77002,22809,Electrical,Active,TX,BULK,2026-10-05
EXTREME POWER SERVICES,(832) 467-8800,extremepowerservices.com,https://www.extremepowerservices.com/,on,TX,77041.0,Generac,77002,22864,Electrical,Active,TX,BULK,2025-12-18
EXCELL ELECTRIC,(214) 391-0040,excellelectric.com,https://www.excellelectric.com/certified-generac-services,dallas,TX,75218.0,Generac,75201,22899,Electrical,Active,TX,BULK,2026-11-16
HARTER ELECTRIC SERVICE INC,(817) 831-2531,,,haltom city,TX,76117.0,Generac,76102,23122,Electrical,Active,TX,BULK,2026-03-06
"ABC HOME & COMMERCIAL SERVICES, INC",(512) 837-9500,abchomeandcommercial.com,https://www.abchomeandcommercial.com/austin,in,TX,78724.0,Generac,78701,23492,Electrical,Active,TX,BULK,2026-05-04
BLACKBELT COMPANY,(210) 862-9189,,,w ansley san antonio,TX,78221.0,Generac,78201,23539,Electrical,Active,TX,BULK,2026-07-31
EVANS ELECTRIC LLC,(817) 845-2247,,,arlington,TX,76006.0,Generac,76102,23954,Electrical,Active,TX,BULK,2026-09-28
NEW PARTNERS COMMUNITY SOLAR,9999999999,npsolar.org,http://www.npsolar.org/,WASHINGTON,DC,20001.0,Briggs & Stratton,21201,24296,Electrical,Active,TX,BULK,2026-10-10
TREMMEL ELECTRIC,(214) 551-9484,tremmelelectric.com,https://www.tremmelelectric.com/,ano,TX,75025.0,Generac,75201,24304,Electrical,Active,TX,BULK,2026-08-26
"THE LENTZ COMPANIES, INC.",(972) 241-0622,lentzservices.com,https://lentzservices.com/,indian trail dallas,TX,75229.0,Generac,75201,24390,Electrical,Active,TX,BULK,2026-04-07
FLYIN R ELECTRIC,(682) 229-4590,flyinrelectric.com,https://flyinrelectric.com/,aledo,TX,76008.0,Generac,76102,24572,Electrical,Active,TX,BULK,2026-06-18
"ECHO ELECTRICAL SERVICES, INC",(817) 903-2482,echoelectricalservices.com,https://echoelectricalservices.com/,e d pantego,TX,76013.0,Generac,75201,24698,Electrical,Active,TX,BULK,2026-10-21
"GENTEX GENERATORS, LLC",(512) 461-2077,,,spicewood,TX,78669.0,Generac,78701,24831,Electrical,Active,TX,BULK,2026-03-12
ASPIRE SALES & ELECTRICAL SERV. LLC,(281) 242-2471,aspiresales.net,https://www.aspiresales.net/,,TX,77477.0,Generac,77002,25185,Electrical,Active,TX,BULK,2026-02-05
TEXAS ELECTRICAL RESI CONTRS LLC,(713) 721-4669,texelectrical.com,https://texelectrical.com/,on,TX,77085.0,Generac,77002,25383,Electrical,Active,TX,BULK,2026-05-02
"POWER AND CONTROL INSTALLATIONS, INC.",9047621522,paci-inc.com,http://paci-inc.com/,JACKSONVILLE,FL,32211.0,Briggs & Stratton,32202,25398,Electrical,Active,TX,BULK,2026-08-22
"PURCELL ELECTRIC, INC.",(512) 829-8219,purcelltx.generacdealers.com,https://purcelltx.generacdealers.com/,ipping springs,TX,78620.0,Generac,78701,25468,Electrical,Active,TX,BULK,2026-09-03
"Millerco, Inc. - Gulfport",228 832-3352,millercoinc.com,https://millercoinc.com/,Gulfport,MISSISSIPPI,39503.0,Cummins,33101,25694,Electrical,Active,TX,BULK,2026-04-14
Carlisle Power Systems Inc - Waxahachie,972 351-9064,carlislepowersystems.com,https://www.carlislepowersystems.com/,Waxahachie,TEXAS,75165.0,Cummins,2101,25954,Electrical,Active,TX,BULK,2026-01-13
Stewart Power Services Llc - Bossier City,318 747-5605,,,Bossier City,LOUISIANA,71111.0,Cummins,2101,25996,Electrical,Active,TX,BULK,2025-12-30
EP Mechanical Technologies,9155441550,,,El Paso,TX,79901.0,Mitsubishi,79901,26009,Electrical,Active,TX,BULK,2026-02-27
"SMITH ELECTRIC & SIGNS, LLC",(214) 328-8797,smithelectricsigns.com,https://smithelectricsigns.com/,garland,TX,75043.0,Generac,75201,26129,Electrical,Active,TX,BULK,2026-02-04
"GENERATOR SUPERCENTER, INC",(281) 251-6100,generatorsupercenter.com,https://www.generatorsupercenter.com/,tomball,TX,77375.0,Generac,77024,26130,Electrical,Active,TX,BULK,2026-04-02
WILLIAMS ELECTRIC & HVAC,(817) 523-5353,williamselectrichvac.com,https://williamselectrichvac.com/,springtown,TX,76082.0,Generac,76107,26220,Electrical,Active,TX,BULK,2026-04-16
"CANO ELECTRIC, INC.",(682) 626-5311,,,fort worth,TX,76118.0,Generac,76102,26346,Electrical,Active,TX,BULK,2026-06-05
Mico Environmental Solutions L.L.C. - Houston,281 502-0062,,,Houston,TEXAS,77339.0,Cummins,36601,26366,Electrical,Active,TX,BULK,2024-06-14
ASSURANCE ELECTRIC LLC,(281) 997-2512,,,pearland,TX,77581.0,Generac,77002,26545,Electrical,Active,TX,BULK,2026-09-18
"PANTHER ELECTRIC, INC.",(281) 332-7561,pantherelectric.net,https://www.pantherelectric.net/,w league city pkwy league city,TX,77573.0,Generac,77002,26609,Electrical,Active,TX,BULK,2026-10-11
"DEEM, LLC",3178602990,deemfirst.com,https://deemfirst.com/,Fishers,IN,46037.0,Mitsubishi,46201,26773,Electrical,Active,TX,BULK,2026-11-06
ADIS ELECTRIC LLC,(214) 613-1000,,,ano,TX,75075.0,Generac,75201,26917,Electrical,Active,TX,BULK,2026-02-23
CROSS ELECTRIC LLC,(817) 847-7111,,,fort worth,TX,76179.0,Generac,76102,26929,Electrical,Active,TX,BULK,2026-01-21
