company_name,company_website,industry,company_size,contact_name,contact_email,contact_title,notes
A & A GENPRO INC.,https://www.aagenpro.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 72.8, Tier: GOLD"
JN ELECTRIC LLC,https://jnelectricllc.generacdealers.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 66.5, Tier: GOLD"
ABACUS PLUMBING A/C & ELECTRICAL,https://www.abacusplubming.net/,HVAC/Electrical,Unknown,,,,"ICP Score: 66.5, Tier: GOLD"
"ABACUS PLUMBING, AC & ELECTRICAL",https://www.abacusplumbing.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 66.5, Tier: GOLD"
NEW ENGLAND TOTAL POWER LLC,https://www.greenwichpowersystems.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 66.5, Tier: GOLD"
"RAVINIA PLUMBING, SEWER, HEATING, & ELECTRIC",http://www.raviniaplumbing.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 66.5, Tier: GOLD"
"RED CAP PLUMBING, AIR AND ELECTRIC",https://www.redcapnow.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 66.5, Tier: GOLD"
"ABC HOME & COMMERCIAL SERVICES, INC",https://www.abchomeandcommercial.com/austin,HVAC/Electrical,Unknown,,,,"ICP Score: 65.0, Tier: GOLD"
ABC Home & Commercial Services,,HVAC/Electrical,Unknown,,,,"ICP Score: 65.0, Tier: GOLD"
American Home & Commercial Services,https://york.dispatch.me/booking/times?externalorganizationid=200410742&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 65.0, Tier: GOLD"
Evenflow Home And Commercial Services Llc - San Antonio,,HVAC/Electrical,Unknown,,,,"ICP Score: 65.0, Tier: GOLD"
"FREEDOM COMMERCIAL & HOME SERVICES,",https://www.freedomchs.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 65.0, Tier: GOLD"
GENSTAR SERVICE,https://www.genstarservice.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 62.5, Tier: GOLD"
SUNSHINE SOLAR SERVICES,http://www.sunshinesolar.us/,HVAC/Electrical,Unknown,,,,"ICP Score: 62.5, Tier: GOLD"
CFS Roofing Service,https://york.dispatch.me/booking/times?externalorganizationid=200413092&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 62.5, Tier: GOLD"
E.R. Plumbing Services,https://york.dispatch.me/booking/times?externalorganizationid=200409651&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 62.5, Tier: GOLD"
Pierce Total Comfort,http://www.piercetotalcomfort.com/?utm_source=carrier&utm_medium=referral&utm_campaign=locator&dealerId=193556,HVAC/Electrical,Unknown,,,,"ICP Score: 61.2, Tier: GOLD"
